järjestys,id,slides,etape,placename fi,placename en,time en,narrator,receiver,narratortxt fi,narratortxt en,fulltext fi,konekäännös,fulltext en,txtlength,source,page,fileid,imagefilename,tech-temp,folder,technique,imagecreator en,kuvan nimi tai kuvateksti fi,image title or caption en,imageyear,collection en,imgorigurl,photographer en,license
74,75,,mbogo,,Tana River,29 June 1910,kirsti,,Kirsti kirjassaan,,"Kokkimme Muanika oli kaunis ja komea kuin Adonis. Lisäksi hän oli terävä poika, huumorintajuinenkin, synnynnäinen hurmuri, joka itse oli tietoinen viehätysvoimastaan. Isä ihaili hänen ulkomuotoaan ja kaunista liikuntaansa. Äitikin oli selvästi häneen mieltynyt ja minä ihastuin häneen 13-vuotiaan suoruudella. Vähitellen Muanika alkoi odotella minua iltaisin, ja lähdimme yhdessä kävelemään alas joelle. Se oli viatonta, luonnollista yhdessäoloa, mutta vaikutti minuun kuin ihme. Aloin letittää tukkanikin uudella tavalla poskilleni ollakseni sievempi.","Our chefs Muanika was beautiful and handsome as Adonis. In addition, he also having a sharp boy, huumorintajuinenkin, born charmer, who himself was aware of your attractiveness. Father admired his physical appearance and his beautiful sport. Mum was clearly fond of him and I fell in love with her 13-year-old frankness. Muanika gradually began to wait for me in the evenings, and we went together to walk down to the river. It was an innocent, natural togetherness, but affected me like a miracle. I began to plait my hair down my cheeks in a new way to be cuter.",,552,muistelmat,57,GKM_VV_4265,,photograph,Kuvat,photograph,,"“Kampi ya Mbogo” eli puhvelileiri Tana-joen varrella. Valtava akasiapuu suojaa kumpaisenkin teltan. Pöydän takana kokkimme Moanika. Puun oksalla roikkuvat juomavesipussit, jotka täten, varjossa ja tuulelle altiina pysyvät kylminä.","“Kampi ya Mbogo” eli puhvelileiri Tana-joen varrella. Valtava akasiapuu suojaa kumpaisenkin teltan. Pöydän takana kokkimme Moanika. Puun oksalla roikkuvat juomavesipussit, jotka täten, varjossa ja tuulelle altiina pysyvät kylminä.",,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
75,76,,mbogo,,Tana River,5 July 1910,mary,,Mary päiväkirjassaan,Mary in her diary,"Näimme jälleen lyhtyjen vilkkuvan ja kuulimme ääniä pimeästä, ja kohta joku huusi. ‘Lete madji’ tuokaa vettä! Sydän lensi kurkkuuni ja minä itse puun luokse, jossa vesisäkit roikkuivat. Otin alas yhden ja sieppasin jostain pikarin, ja sitten huusin kikujuja niin paljon kuin jaksoin – – – Kii ja minä menimme perässä. Jorma oli Axelin kanssa. Näimme heidän kantavan jotakin suurta. Oliko se ihminen vai eläin, sitä pohdimme ja olimme levottomia. Mutta pian kuulimme Axelin huutavan: 'plumpudding’ ja me kiljahdimme ihastuksesta, sillä nyt tiesimme, että Axel oli kaatanut leijonan tai puhvelin.» Se oli puhveli, neljä metriä pitkä, suurin mikä Itä-Afrikassa oli kaadettu, sanottiin Nairobissa myöhemmin.","We saw a flashing light district again, and we heard the sounds of the dark, and point someone shouted. 'Lete madji' bring water! Heart in my throat and I flew over to the tree itself, where the water bags hanging on. I took one down and grabbed some goblet, and then I cried Kikuyu as much as I could - - - Kii and I went behind. Jorma was with Axel. We saw them carrying something big. Was it a man or an animal, thinking about it and we were restless. But as soon as we heard Axel's shouting: 'plumpudding' and we kiljahdimme with admiration, because now we knew that Axel was knocked down by a lion or a buffalo ""It was a buffalo, four meters long, which is the largest in East Africa was overthrown, said in Nairobi later..",,703,tropiikki,327,D-DEP-Ammuttu_puhveli,gkm128.tif,oil,Käyttökuvat,oil on wood,Akseli Gallen-Kallela,Ammuttu puhveli,,1909‒1910,Private collection,,Jukka Paavola,
76,77,,mbogo,,Tana River,5 July 1910,kirsti,,Kirsti kirjassaan,,"Puhvelinmetsästyksen jälkeen, jota oli kestänyt viidestä aamulla kahdeksaan illalla, sairastui Jorma malariaan. Tämä muutti koko safarimme suunnan. Emme voineet enää jatkaa kauemmaksi, vaan kun kuume helpotti, käännyimme takaisinpäin asutummille seuduille. Kikuju-kantajammekin alkoivat vähitellen ikävystyä. Iltaisin paloivat nuotiot telttojen edessä, mutta enää ei kuulunut iloista laulua niitten ääreltä. Koti-ikävä alkoi vaivata miehiä. He olivat mielestään jo kyllin kauan samoilleet pitkin aroja pistävien saraheinien repiessä heidän paljaita kinttujaan, nousseet jo kyllin monta kukkulaa ja laskeutuneet taas laaksoihin raskaat kantamukset selässään. Sitä paitsi moni heistä oli sairaana: he tahtoivat kotiin.","After Puhvelinmetsästyksen, which had lasted five in the morning to eight in the evening, fell ill with malaria Jorma. This changed the whole direction of the safari. We could no longer continue farther, but when the fever eased, we turned back to the asutummille regions. Kikuyu-carrier gradually began to be bored. In the evening, bonfires were burning in front of the tents, but no longer belonged to the joys of singing niitten parts of the earth. Homesickness began to bother men. They felt they were long enough wanders along the steppes of biting sedge grasses repiessä their bare kinttujaan, already risen enough to many hill and descended into the valleys of the heavy loads to carry on his back again. Besides, many of them were sick: they wanted a home.",,716,tropiikki,332,GKM_VV_4053,,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
77,78,,mbogo,,Tana River,July 1910,akseli,,Akseli kertoo kirjassaan,,"Kun eräänä iltana tulin leiriin, huomasin, että leirituli oli sytytetty huolimattomasti; liekit hulmusivat korkealle ja rupesivat jo pahasti uhkaamaan telttaamme. Komensin kiireellisesti koko miehistön sammuttamaan. 
Vaikka olin antanut ankaran käskyn, että kaikkien oli käytävä sammutustyöhön, näin kokin seisovan aivan rauhallisena ja naureskellen. Tämä mies oli muulloin aina ollut tottelevimpia ja palvelushaluisimpia. Komensin hänet luokseni ja kysyin häneltä, kuka oli sytyttänyt tulet. Mieleni oli kuohuksissa, ajattelin sairasta lastani, jota näin vielä tuli uhkasi. Kun kokki ei vastannut, tartuin häntä lujalla otteella rinnuksista kiinni. Mutta mies seisoi kuin patsas katsoen minua lujasti silmiin. 
Ja kummallinen on ihmisaivojen rakenne: vaikka olin kiukusta kuohahtamaisillani, ehti maalarin silmäni samalla huomata, miten ihanteellisen kauniina hän seisoi edessäni. Hänen täydellisen kaunis klassillinen muotonsa, hänen hartiainsa komeat kaaret, paisuvat kaulajänteet, koko hänen himmeässä tulenloimossa loistava mustansilkkinen ihonsa, kaikki syöpyi liekkien välkkeessä silmänräpäyksessä lujasti mieleeni. Koko hänen asentonsa oli luja kuin pronssiin valettu. Tämän huomattuani kiukkuni samassa sammui, ja niin sysäsin kokin luotani ja käskin hänen lähteä tiehensä. Lauhtuneena istuuduin teltan ääreen, jolloin näin, kuinka kokki meni telttaansa ja rupesi kokoamaan tavaroitansa nyyttiin. Silloin tuli vaimoni, joka oli nähnyt kaiken, ja sanoi, etten saa lähettää poikaa yksin ulos yöhön ja pyysi minua järjestämään suhteet ennalleen kokin kanssa. Moanika – se oli kokin nimi - oli noussut ja oli jo menossa, kun vaimoni meni hänen luokseen ja selvitti hänen kanssaan asian. Tulipalo sammutettiin, ennen kuin se ennätti tehdä vahinkoa. Ruohokenttä vain oli mustana leirin ympäriltä.","After one night, I came to camp, I found that the camp fire was lit carelessly; hulmusivat high flames, and began already severely threatened by the tent. Komensin a matter of urgency to put out the whole crew.
Even though I was given a harsh decree that all the fighting had to go to work, I saw chef standing quite calm and laughing. This man was otherwise always been docile and palvelushaluisimpia. Komensin him to me and I asked him who had lit lights. My mind was in an uproar, I thought my child sick, which thus became still threatened. When the chef did not respond, he grabbed a firm grip with the chest closed. But the man stood like a statue looking at me firmly in the eye.
And strange is the structure of the human brain: even though I was kuohahtamaisillani rage, managed to masking my eyes at the same time to note how the ideal beauty he stood in front of me. His perfect beautiful classical form, his handsome arches hartiainsa, swell kaulajänteet, throughout his brilliant dim tulenloimossa mustansilkkinen skin, all eroded the flames sparkle blink of an eye firmly on my mind. His whole posture was solid as cast bronze. This Noticed I got angry in the same passed out, and so not cast a chef from me, and I told him to bugger off. Sit down at the tent condensed, to thereby how the cook came tent and began to collect the goods of nyyttiin. Then came my wife, who had seen it all, and said that I should not send the boys out alone into the night and asked me to organize a restoration of relations with the chef. Moanika - it was the name of the chef - had risen and was already going after my wife went to him and explained to him the matter. The fire was quenched, before it reached the do damage. Grass Field was the only black around the camp.",,1799,afrikka,236–238,gkm118,gkm118.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Arokulo,Bushfire,1909‒1910,Private collection,,Douglas Sivén,
78,79,,nairobi,,Nairobi,22 July 1910,kirsti,,Kirsti kirjassaan,,"Kun jälleen saavuimme Nairobin lähettyville, pystytimme telttamme niitylle vastapäätä Brickhousea, entistä kotiamme. Olimme toivoneet, että jälleen saisimme siinä asua, mutta se oli jo vuokrattu toisille, ja itkusilmin katselimme pientä taloa, joka oli ollut kotimme Afrikassa lähes vuoden ajan. Meidän oli paha olla, kun emme päässeet sinne enää ja kun meidän täytyi etsiä uutta asuntoa Nairobista.
Saimme talon sivukadun varrelta, mutta emme viihtyneet siinä. Ikävöimme takaisin vapaalle arolle, missä tuhannet eläimet kuljeskelivat hehkuvan ilman väreilyssä, takaisin vuorille, mistä silmänkantamattomat laaksot avautuivat eteemme, takaisin Tana-joen koskemattomille rannoille, missä krokotiilit ja virtahevoset paistattelivat päivää. Olimme kuin Edenin puutarhasta karkotettuja poloisia, olimme sairaita ikävästä eikä meitä mikään enää kiinnostanut.","Once again we arrived in Nairobi nearby, we set up our tent meadow opposite the Brick house tracks, the more our home. We had hoped that we could get back there to stay, but it was already rented to others, and crying eyes watched the small houses that had been our home for almost a year in Africa. We had to be bad when we could not get there anymore, and when we had to look for new housing units in Nairobi.
We got the house along the street side, but we enjoyed it. We miss back to the free plains, where thousands of animals strolling glowing ripples in the air, back to the mountains, where the eye can own valleys were opened in front of us, back to the untouched beaches Tana River, where crocodiles and power horses paistattelivat days. We were expelled from the Garden of Eden, The Poor Ones, we were sick and sad for us no longer interested.",,853,tropiikki,335,gkm138,gkm138.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Auringonkukka Nairobin arolla Keski-Afrikassa,Sunflower at the Nairobi Savannah,1909,Private collection,,Douglas Sivén,
79,81,,nairobi,,Nairobi,14 August 1910,mary,,Maryn päiväkirja kertoo,Mary's diary tells,"Aamulla sängyssä. Juuri juoneet teetä, lämmintä ja hyvää. Täällä palelemme paratiisioleskelumme jälkeen. Eilen kun menimme postiin, Kii ja minä suojelimme itseämme auringonvarjoilla kylmää pohjoistuulta vastaan, tulimme punaisiksi kylmästä – täällähän on sitä paitsi talvi nyt, pilvistä joka päivä. – – –
Kirsti täyttää 14 vuotta tänään. Sievä syntymäpäiväpöytä unikkoineen, pelargonioineen, Afrikkapuineen ja punaisine päivänkakkaroineen, hedelmineen ja suklaineen. Minä olen terve mutta Axel ei ole; hän maalaa kuitenkin.","In the morning in bed. Just finished drinking tea, warm and good. Here palelemme after paratiisioleskelumme. Yesterday when we went to the post office, Kii and I protect ourselves from the sun with umbrellas against the cold north winds, we came out red from the cold - täällähän is, moreover, the winter now, cloudy every day. - - -
Kirsti turns 14 years old today. Pretty birthday table unikkoineen, geraniums, daisies Afrikkapuineen and with red, fruit and suklaineen. I am healthy, but Axel is not; However, he paints.",,523,tropiikki,335,gkm140,gkm140.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Hindu-naisia Nairobin tiellä,,1910,Private collection,,Douglas Sivén,
80,82,,nairobi,,Nairobi,,kirsti,,Kirsti kirjeessään Nairobista,,"Se tyttö, joka antoi minulle suaheli-puvut, joissa oli tähdet, oli pieni, kiltti 13–14-vuotias nandi-tyttö ja hänen nimensä oli Mariam Asha Tapkigen Djamingeno Tabranditsh Tapkutundja Tapuali. Ja hänellä oli ystävä, jonka nimi oli Djebor Tabaro Ashelikuap. Annoin heille kaikki vanhat leninkini ja he tulivat ylen iloisiksi ja pyysivät, että kirjoittaisin heille Suomesta, vaikka he eivät osanneet lukea, mutta heidän veljensä osasi.","The girl who gave me suaheli-suits, which were the stars, was a small, kind Nandi 13-14-year-old-girl and her name was Mariam Asha Tapkigen Djamingeno Tabranditsh Tapkutundja Tapuali. And he had a friend, whose name was Djebor Tabaro Ashelikuap. I gave them all the old dress and they were exceedingly happy and asked that I write to them in Finland, even if they could not read, but knew their brother.",,433,tropiikki,307,GKM_VV_4064,,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
81,83,,nairobi,,Nairobi,,kirsti,,Kirsti kertoo kirjassaan,,"Aika kului, elämä oli mitäänsanomatonta hiljaiseloa kaikkien voimakkaiden elämysten jälkeen. Isä ja Jorma lähtivät Mr. Heyerin veljen kanssa pienelle viiden päivän safarille Makinduun, mutta retkestä tuli epäonnistunut. Yhtään eläintä he eivät saaneet, sillä Heyerin veli oli huono ampuja ja pelästytti pois kaikki eläimet.",,"Time passed, life was subdued and bland after all the strong sensations. Father and Jorma went on a five-day safari in Makindu with Mr. Heyer and his little brother, but the trip was a failure. They did not get any animals as Heyer's brother was a bad shooter and scared off all the animals.",323,tropiikki,336,,000,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
82,84,,finis,,Nairobi,,,,,,jotain finis finlandiae -henkistä,#VALUE!,,33,,,,,photograph,#N/A,#N/A,,"Oik. Äiti, Mr. Heyer, Jorma, Kirsti ja kiväärinkantajamme Muhammed bin Juma. Nairobin asemalla viimeisenä päivänä lähdössä pois. Taustalla junanvaunu. Äidin kädessä isän tekemä käsilaukku elandin nahasta. Bin Jumalla isän valokuvakotelo.",#N/A,#N/A,#N/A,#N/A,#N/A,
83,85,,finis,Punainen meri,The Red Sea,16 November 1910,kirsti,,Kirsti kertoo kirjassaan,,"Piano tuotiin laivan kannelle ja äiti soitti myöhään yöhön. Hellepukuiset matkustajat istuivat ympärillä kuunnellen ja pyytäen yhä lisää. Sibeliuksen sävelet kaikuivat tummassa troopillisessa yössä. – – – 
Marraskuun 16 p:nä hän kirjoittaa: »Ihanat lauhkeat tuulahdukset hyväilivät kuin pehmeät pallot poskiamme, tähdet tuikkivat mykkinä taivaalla ja, taysikuu loisti kaikessa komeudessaan sekä taivaalla että meressä: kimallusta, valoa, lauhkeutta, paratiisi, tropiikki – minun paratiisini.»",,"A piano was brought to the ship's deck and Mother played late into the night. Passengers were sitting around her in their heat suits listening and asking for more and more. The tones of Sibelius echoed in the tropical dark night. – – –
November 16 she writes: ""Lovely temperate breezes caressed our cheeks like soft balls, silent stars were twinkling in the sky and full moon shone in all its glory both in the sky and the ocean. Sparkle, light, temperance, paradise, tropics – my paradise»",,tropiikki,337,kg03,,oil,,"oil on canvas, mounted on hardwood",Akseli Gallen-Kallela,Punaisen meren rantaa,Red Sea,1910,Finnish National Gallery,http://kokoelmat.fng.fi/app?lang=fi&si=http%3A%2F%2Fkansallisgalleria.fi%2FTeos_72DFE8C0-4190-406E-99DD-96713DC161A6,"Finnish National Gallery / Aaltonen, Hannu",
84,86,,finis,,The Red Sea,16 November 1910,mary,,Mary päiväkirjassaan,Mary in her diary,"Puolivälissä Punaista merta kääntyi tuuli ja kaikki muuttui harmaaksi ja kylmäksi, pohjoinen vinkui ja piiskasi telttakatosta, joka hakkasi ja läpätti. »Minä tulin surulliseksi ja sydämeni kutistui kokoon Pohjolan kovuudesta ja kylmyydestä, sillä ihmiset tulevat samanlaisiksi. Minun oli niin ikävä olla, että minun täytyi mennä alas hyttiin, makasin sängylläni ja itkin», kirjoittaa äiti ja jatkaa:
»Axel tunsi myös samaa, hän tuntee, että hänestä tulee vihainen ja kova. Minusta tuskin tulee kova, mutta tunnen surua. Surua – minun on niin ikävä. Afrikka on ottanut minut, minä olen myyty. – – – Heyer sanoi, että olisimme varovaisia – kuinkahan se kävisi päinsä – on käynyt niinkuin on käynyt enkä minä kaipaa Suomeen! Tahtoisin nähdä omaisiani, mutta en tuttavia.»",,"Halfway through the Red Sea the wind turned and all became gray and cold, the North whistled and lashed the marquee, which beat and flapped. »I became sad and my heart melted away for the hardness and coldness of the North, as people become alike. I felt so uneasy that I had to go down into the cabin, I was lying on my bed and cried,» writes Mother, and continues:
»Axel felt the same, he knows that he will become angry and tough. I will hardly become tough, but I feel sadness. Sadness – I long for Africa so much. It has taken me, I'm sold. – – – Heyer warned us to be cautious – I wonder what good the warning could do – what happened has happened, and I don't miss Finland! I would like to see my relatives, but I not my acquaintances.»",,tropiikki,337,web06,web06.jpeg,watercolour,Kuvat,watercolour,Akseli Gallen-Kallela,,Night Clouds Above the Savannah,1909,Private collection,http://www.the-athenaeum.org/art/detail.php?ID=57659,,
